name,priority,ra,dec,ra (sex),dec (sex),spectral class,classification phase,classificationWRTMax,classification date,latest mag,abs peak mag,z,mpc,discovery date,last non-detection date,added to marshall,PI,pi email
AT2019lio,MEDIUM,292.7272,29.9980,19:30:54.52,+29:59:52.9,,,,,18.9400,,,,2019-07-13,,2019-07-17,,
AT2019lik,MEDIUM,230.8833,-10.2332,15:23:31.99,-10:13:59.5,,,,,18.8700,,,,2019-07-13,,2019-07-17,,
AT2019lhr,MEDIUM,182.7166,-40.1925,12:10:51.97,-40:11:32.9,,,,,17.9000,,,,2019-07-11,2019-06-12,2019-07-16,,
AT2019lfa,MEDIUM,187.5740,15.5197,12:30:17.75,+15:31:10.7,,,,,19.3100,-18.5009,0.0803,364.9021,2019-07-12,2019-07-03,2019-07-15,,
AT2019lfc,MEDIUM,184.6675,19.9748,12:18:40.20,+19:58:29.2,,,,,19.0400,-18.3058,0.0655,294.5529,2019-07-09,2019-07-06,2019-07-15,,
AT2019lei,MEDIUM,7.0701,21.0989,00:28:16.81,+21:05:55.9,,,,,19.8600,,,,2019-07-08,2019-07-01,2019-07-14,,
AT2019lck,MEDIUM,301.5123,-18.1896,20:06:02.95,-18:11:22.5,,,,,19.3000,,,,2019-07-14,2019-07-11,2019-07-14,,
AT2019lbz,MEDIUM,307.3293,10.1943,20:29:19.02,+10:11:39.3,,,,,17.8900,,,,2019-07-13,2019-07-10,2019-07-14,,
AT2019lbv,MEDIUM,193.1732,22.9973,12:52:41.57,+22:59:50.1,,,,,17.6800,,,,2019-07-13,2019-07-10,2019-07-14,,
AT2019lbm,MEDIUM,331.8446,-80.1024,22:07:22.71,-80:06:08.7,,,,,16.7000,,,,2019-07-13,2017-02-22,2019-07-13,,
AT2019gtx,MEDIUM,186.2366,8.8062,12:24:56.78,+08:48:22.3,,,,,19.6900,,,,2019-05-30,2019-05-09,2019-06-03,,
AT2019lzj,LOW,328.5183,-29.2448,21:54:04.38,-29:14:41.4,,,,,19.6830,,,,2019-07-29,,2019-07-30,,
AT2019lwz,LOW,355.1431,-25.4498,23:40:34.34,-25:26:59.1,,,,,19.5590,,,,2019-07-29,2019-07-27,2019-07-29,,
AT2019lve,LOW,16.0994,-0.9711,01:04:23.86,-00:58:16.0,,,,,19.1100,-18.6554,0.0788,357.3312,2019-07-19,2019-07-16,2019-07-27,,
AT2019ltc,LOW,220.3215,-41.2148,14:41:17.17,-41:12:53.2,,,,,18.1820,-18.7607,0.0548,244.6452,2019-07-25,2019-07-15,2019-07-25,,
AT2019ltd,LOW,222.4964,-19.0551,14:49:59.12,-19:03:18.5,,,,,18.7360,,,,2019-07-25,2019-07-21,2019-07-25,,
AT2019lsr,LOW,194.1952,-6.0374,12:56:46.85,-06:02:14.7,,,,,18.7730,,,,2019-07-24,2019-07-20,2019-07-25,,
ZTF19aayclnm,LOW,313.9006,-8.6754,20:55:36.14,-08:40:31.4,,,,,19.7800,,,,2019-06-04,,2019-07-24,,
AT2019lpc,LOW,222.4951,11.0044,14:49:58.82,+11:00:15.7,,,,,19.6200,-17.5770,0.0614,275.0425,2019-07-17,2019-07-14,2019-07-21,,
AT2019lmr,LOW,313.3033,-24.0460,20:53:12.79,-24:02:45.6,,,,,19.1700,,,,2019-07-20,2019-07-10,2019-07-20,,
